SOC,Current,Voltage,Power,Energy_Wh,Charge_level_based_on_SOC,Charge_level
61.52264513,8.530001836,384.839852,3282.684644,13853.55613,11566.25728,13853.55613
61.5265942,8.530001836,384.8401833,3282.68747,13854.46798,11566.99971,13854.46798
61.53054327,8.530001836,384.8405147,3282.690297,13855.37984,11567.74214,13855.37984
61.53449235,8.530001836,384.840846,3282.693123,13856.2917,11568.48456,13856.2917
61.53844142,8.530001836,384.8411773,3282.695949,13857.20356,11569.22699,13857.20356
61.5423905,8.530001836,384.8415086,3282.698775,13858.11542,11569.96941,13858.11542
61.54633957,8.530001836,384.8418399,3282.701601,13859.02728,11570.71184,13859.02728
61.55028865,8.530001836,384.8421711,3282.704426,13859.93914,11571.45427,13859.93914
61.55423772,8.530001836,384.8425024,3282.707252,13860.851,11572.19669,13860.851
61.5581868,8.530001836,384.8428336,3282.710077,13861.76287,11572.93912,13861.76287
61.56213587,8.530001836,384.8431647,3282.712902,13862.67473,11573.68154,13862.67473
61.56608495,8.530001836,384.8434959,3282.715726,13863.5866,11574.42397,13863.5866
61.57003402,8.530001836,384.843827,3282.718551,13864.49846,11575.1664,13864.49846
61.5739831,8.530001836,384.8441581,3282.721375,13865.41033,11575.90882,13865.41033
61.57793217,8.530001836,384.8444892,3282.7242,13866.32219,11576.65125,13866.32219
61.58188125,8.530001836,384.8448203,3282.727024,13867.23406,11577.39367,13867.23406
61.58583032,8.530001835,384.8451514,3282.729847,13868.14593,11578.1361,13868.14593
61.5897794,8.530001835,384.8454824,3282.732671,13869.0578,11578.87853,13869.0578
61.59372847,8.530001835,384.8458134,3282.735495,13869.96967,11579.62095,13869.96967
61.59767755,8.530001835,384.8461444,3282.738318,13870.88154,11580.36338,13870.88154
61.60162662,8.530001835,384.8464753,3282.741141,13871.79341,11581.10581,13871.79341
61.6055757,8.530001835,384.8468063,3282.743964,13872.70529,11581.84823,13872.70529
61.60952477,8.530001835,384.8471372,3282.746787,13873.61716,11582.59066,13873.61716
61.61347385,8.530001835,384.8474681,3282.749609,13874.52903,11583.33308,13874.52903
61.61742292,8.530001835,384.847799,3282.752431,13875.44091,11584.07551,13875.44091
61.621372,8.530001835,384.8481298,3282.755254,13876.35278,11584.81794,13876.35278
61.62532107,8.530001835,384.8484606,3282.758076,13877.26466,11585.56036,13877.26466
61.62927015,8.530001835,384.8487915,3282.760897,13878.17654,11586.30279,13878.17654
61.63321922,8.530001835,384.8491222,3282.763719,13879.08842,11587.04521,13879.08842
61.6371683,8.530001835,384.849453,3282.76654,13880.00029,11587.78764,13880.00029
61.64111737,8.530001835,384.8497838,3282.769362,13880.91217,11588.53007,13880.91217
61.64506645,8.530001835,384.8501145,3282.772183,13881.82405,11589.27249,13881.82405
61.64901552,8.530001835,384.8504452,3282.775004,13882.73594,11590.01492,13882.73594
61.6529646,8.530001835,384.8507759,3282.777824,13883.64782,11590.75734,13883.64782
61.65691367,8.530001835,384.8511065,3282.780645,13884.5597,11591.49977,13884.5597
61.66086275,8.530001835,384.8514372,3282.783465,13885.47158,11592.2422,13885.47158
61.66481182,8.530001835,384.8517678,3282.786285,13886.38347,11592.98462,13886.38347
61.6687609,8.530001835,384.8520984,3282.789105,13887.29535,11593.72705,13887.29535
61.67270997,8.530001835,384.8524289,3282.791925,13888.20724,11594.46947,13888.20724
61.67665905,8.530001835,384.8527595,3282.794744,13889.11913,11595.2119,13889.11913
61.68060812,8.530001835,384.85309,3282.797564,13890.03101,11595.95433,13890.03101
61.6845572,8.530001835,384.8534205,3282.800383,13890.9429,11596.69675,13890.9429
61.68850627,8.530001835,384.853751,3282.803202,13891.85479,11597.43918,13891.85479
61.69245535,8.530001835,384.8540815,3282.806021,13892.76668,11598.18161,13892.76668
61.69640442,8.530001835,384.8544119,3282.80884,13893.67857,11598.92403,13893.67857
61.7003535,8.530001835,384.8547423,3282.811658,13894.59046,11599.66646,13894.59046
61.70430257,8.530001834,384.8550727,3282.814476,13895.50235,11600.40888,13895.50235
61.70825165,8.530001834,384.8554031,3282.817294,13896.41425,11601.15131,13896.41425
61.71220072,8.530001834,384.8557335,3282.820112,13897.32614,11601.89374,13897.32614
61.7161498,8.530001834,384.8560638,3282.82293,13898.23803,11602.63616,13898.23803
61.72009887,8.530001834,384.8563941,3282.825748,13899.14993,11603.37859,13899.14993
61.72404795,8.530001834,384.8567244,3282.828565,13900.06183,11604.12101,13900.06183
61.72799702,8.530001834,384.8570547,3282.831382,13900.97372,11604.86344,13900.97372
61.7319461,8.530001834,384.8573849,3282.834199,13901.88562,11605.60587,13901.88562
61.73589517,8.530001834,384.8577151,3282.837016,13902.79752,11606.34829,13902.79752
61.73984425,8.530001834,384.8580453,3282.839833,13903.70942,11607.09072,13903.70942
61.74379332,8.530001834,384.8583755,3282.842649,13904.62132,11607.83314,13904.62132
61.7477424,8.530001834,384.8587057,3282.845465,13905.53322,11608.57557,13905.53322
61.75169147,8.530001834,384.8590358,3282.848281,13906.44512,11609.318,13906.44512
61.75564055,8.530001834,384.8593659,3282.851097,13907.35702,11610.06042,13907.35702
61.75958962,8.530001834,384.859696,3282.853913,13908.26893,11610.80285,13908.26893
61.7635387,8.530001834,384.8600261,3282.856729,13909.18083,11611.54527,13909.18083
61.76748777,8.530001834,384.8603562,3282.859544,13910.09273,11612.2877,13910.09273
61.77143685,8.530001834,384.8606862,3282.862359,13911.00464,11613.03013,13911.00464
61.77538592,8.530001834,384.8610162,3282.865174,13911.91655,11613.77255,13911.91655
61.779335,8.530001834,384.8613462,3282.867989,13912.82845,11614.51498,13912.82845
61.78328407,8.530001834,384.8616762,3282.870804,13913.74036,11615.25741,13913.74036
61.78723314,8.530001834,384.8620061,3282.873618,13914.65227,11615.99983,13914.65227
61.79118222,8.530001834,384.862336,3282.876432,13915.56418,11616.74226,13915.56418
61.79513129,8.530001834,384.862666,3282.879246,13916.47609,11617.48468,13916.47609
61.79908037,8.530001834,384.8629958,3282.88206,13917.388,11618.22711,13917.388
61.80302944,8.530001834,384.8633257,3282.884874,13918.29991,11618.96954,13918.29991
61.80697852,8.530001834,384.8636555,3282.887687,13919.21182,11619.71196,13919.21182
61.81092759,8.530001834,384.8639854,3282.890501,13920.12374,11620.45439,13920.12374
61.81487667,8.530001834,384.8643152,3282.893314,13921.03565,11621.19681,13921.03565
61.81882574,8.530001834,384.8646449,3282.896127,13921.94757,11621.93924,13921.94757
61.82277482,8.530001834,384.8649747,3282.89894,13922.85948,11622.68167,13922.85948
61.82672389,8.530001833,384.8653044,3282.901752,13923.7714,11623.42409,13923.7714
61.83067297,8.530001833,384.8656341,3282.904565,13924.68331,11624.16652,13924.68331
61.83462204,8.530001833,384.8659638,3282.907377,13925.59523,11624.90894,13925.59523
61.83857112,8.530001833,384.8662935,3282.910189,13926.50715,11625.65137,13926.50715
61.84252019,8.530001833,384.8666231,3282.913001,13927.41907,11626.3938,13927.41907
61.84646927,8.530001833,384.8669528,3282.915813,13928.33099,11627.13622,13928.33099
61.85041834,8.530001833,384.8672824,3282.918624,13929.24291,11627.87865,13929.24291
61.85436742,8.530001833,384.867612,3282.921436,13930.15483,11628.62107,13930.15483
61.85831649,8.530001833,384.8679415,3282.924247,13931.06676,11629.3635,13931.06676
