,index,Power,time_stamp
276,12631,3519.5706333333333,2019-10-01 10:30:00
277,12632,3519.574650537634,2019-10-01 10:30:00
278,12633,3519.5786677419355,2019-10-01 10:30:00
279,12634,3519.5826838709677,2019-10-01 10:30:00
280,12635,3519.5867,2019-10-01 10:30:00
281,12636,3519.5907150537632,2019-10-01 10:30:00
282,12637,3519.5947301075266,2019-10-01 10:30:00
283,12638,3519.59874516129,2019-10-01 10:30:00
284,12639,3519.602759139785,2019-10-01 10:30:00
285,12640,3519.6067731182793,2019-10-01 10:30:00
286,12641,3519.610786021505,2019-10-01 10:30:00
287,12642,3519.614798924731,2019-10-01 10:30:00
288,12643,3519.618810752688,2019-10-01 10:30:00
289,12644,3519.622822580645,2019-10-01 10:30:00
290,12645,3519.6268333333333,2019-10-01 10:30:00
291,12646,3519.6308440860216,2019-10-01 10:30:00
292,12647,3519.6348537634403,2019-10-01 10:30:00
293,12648,3519.63886344086,2019-10-01 10:30:00
294,12649,3519.642873118279,2019-10-01 10:30:00
295,12650,3519.64688172043,2019-10-01 10:30:00
296,12651,3519.650890322581,2019-10-01 10:30:00
297,12652,3519.654897849462,2019-10-01 10:30:00
298,12653,3519.658905376344,2019-10-01 10:30:00
299,12654,3519.6629118279566,2019-10-01 10:30:00
300,12655,3519.66691827957,2019-10-01 10:30:00
301,12656,3519.670923655914,2019-10-01 10:30:00
302,12657,3519.674929032258,2019-10-01 10:30:00
303,12658,3519.6789344086023,2019-10-01 10:30:00
304,12659,3519.6829387096773,2019-10-01 10:30:00
305,12660,3519.6869430107527,2019-10-01 10:30:00
306,12661,3519.6909462365593,2019-10-01 10:30:00
307,12662,3519.6949494623655,2019-10-01 10:30:00
308,12663,3519.698951612903,2019-10-01 10:30:00
309,12664,3519.7029537634407,2019-10-01 10:30:00
310,12665,3519.7069548387094,2019-10-01 10:30:00
311,12666,3519.7109559139785,2019-10-01 10:30:00
312,12667,3519.7149559139784,2019-10-01 10:30:00
313,12668,3519.7189559139783,2019-10-01 10:30:00
314,12669,3519.7229559139782,2019-10-01 10:30:00
315,12670,3519.7269548387094,2019-10-01 10:30:00
316,12671,3519.730953763441,2019-10-01 10:30:00
317,12672,3519.734951612903,2019-10-01 10:30:00
318,12673,3519.7389494623653,2019-10-01 10:30:00
319,12674,3519.742946236559,2019-10-01 10:30:00
320,12675,3519.7469430107526,2019-10-01 10:30:00
321,12676,3519.750939784946,2019-10-01 10:30:00
322,12677,3519.7549354838707,2019-10-01 10:30:00
323,12678,3519.758930107527,2019-10-01 10:30:00
324,12679,3519.7629247311825,2019-10-01 10:30:00
325,12680,3519.7669193548386,2019-10-01 10:30:00
326,12681,3519.7709129032255,2019-10-01 10:30:00
327,12682,3519.7749064516124,2019-10-01 10:30:00
