,start,end,energy(J)
169,2017-11-04 11:12:16,2017-11-04 11:57:51,5198400.518886253
170,2017-11-04 12:56:53,2017-11-04 15:59:09,18353502.23233614
171,2017-11-04 17:03:52,2017-11-04 17:36:01,3741561.1282827556
172,2017-11-04 19:07:42,2017-11-04 19:50:05,3192451.533148435
173,2017-11-05 00:29:02,2017-11-05 01:10:10,4534082.671700135
174,2017-11-05 07:09:38,2017-11-05 09:09:46,13902434.736283684
175,2017-11-05 11:09:36,2017-11-05 11:21:23,1286953.9064311227
176,2017-11-05 12:32:24,2017-11-05 13:15:31,2151265.4269165136
177,2017-11-05 13:49:28,2017-11-05 14:04:26,1539695.314362638
178,2017-11-05 14:57:54,2017-11-05 15:08:42,888898.6419489369
179,2017-11-05 15:39:41,2017-11-05 15:57:48,2117424.3898208532
180,2017-11-05 18:12:37,2017-11-05 19:13:55,3270603.021242653
181,2017-11-05 19:45:51,2017-11-05 20:37:32,3584942.6735321833
182,2017-11-06 09:55:29,2017-11-06 10:04:28,903894.6866256
183,2017-11-06 10:52:54,2017-11-06 14:02:19,69694644.92384292
184,2017-11-06 17:30:31,2017-11-06 21:03:57,72222088.25339353
185,2017-11-07 05:57:04,2017-11-07 06:12:14,1801121.3334143704
186,2017-11-07 07:30:01,2017-11-07 08:15:01,2308246.7956837043
187,2017-11-07 09:36:01,2017-11-07 09:44:48,854986.2017450426
188,2017-11-07 18:09:49,2017-11-07 18:22:07,1034361.8254867046
189,2017-11-07 20:01:58,2017-11-07 20:10:35,705975.0973729679
190,2017-11-07 22:02:01,2017-11-07 22:09:43,669589.1843280292
191,2017-11-08 06:31:31,2017-11-08 06:46:35,1767663.7231495446
192,2017-11-08 07:40:13,2017-11-08 08:19:38,2330129.182885043
193,2017-11-08 09:26:08,2017-11-08 09:35:15,860607.481506403
194,2017-11-08 15:32:26,2017-11-08 16:10:49,1748757.9496461612
195,2017-11-08 18:37:34,2017-11-08 18:48:55,963107.0099621876
196,2017-11-09 10:04:16,2017-11-09 10:15:44,1172865.109013759
197,2017-11-09 12:25:23,2017-11-09 13:08:49,1463041.7216109177
198,2017-11-09 18:16:08,2017-11-09 18:29:20,1073416.4596867445
199,2017-11-10 05:51:40,2017-11-10 06:06:39,1789124.043418672
200,2017-11-10 07:18:13,2017-11-10 07:33:36,1730009.916750504
201,2017-11-10 08:10:44,2017-11-10 08:18:05,570204.8699739575
202,2017-11-10 08:52:57,2017-11-10 09:03:34,1120139.6669738255
203,2017-11-10 18:40:02,2017-11-10 19:06:48,1408896.3509116436
204,2017-11-11 05:49:49,2017-11-11 06:03:45,1729945.8339796371
205,2017-11-11 07:37:21,2017-11-11 07:52:46,1820635.3251178213
206,2017-11-11 08:49:50,2017-11-11 10:03:10,6102717.006042823
207,2017-11-11 10:34:04,2017-11-11 15:06:12,67623005.35852508
208,2017-11-11 17:14:44,2017-11-11 18:03:04,4423083.391061954
209,2017-11-11 18:51:18,2017-11-11 20:20:37,12110310.97227417
210,2017-11-12 12:51:25,2017-11-12 14:42:06,8732621.327910453
211,2017-11-15 10:43:36,2017-11-15 10:46:19,133366.4197530869
212,2017-11-15 18:40:16,2017-11-15 18:50:43,936865.3771730922
213,2017-11-15 19:57:26,2017-11-15 20:06:33,760059.8992339169
214,2017-11-15 21:22:31,2017-11-15 21:32:06,630860.1919456185
215,2017-11-15 23:43:37,2017-11-15 23:51:14,677347.2527269163
216,2017-11-16 06:28:29,2017-11-16 06:43:34,1793003.7539400097
217,2017-11-16 08:14:37,2017-11-16 08:30:35,1803536.312889783
218,2017-11-16 09:34:01,2017-11-16 09:43:39,880734.5529922583
219,2017-11-16 17:59:57,2017-11-16 18:13:10,1057012.3142680798
220,2017-11-16 19:00:43,2017-11-16 19:46:22,1782061.5704626108
221,2017-11-17 05:53:20,2017-11-17 06:08:15,1775930.4077839868
222,2017-11-17 07:16:03,2017-11-17 07:30:33,1743881.0851310955
223,2017-11-17 08:56:00,2017-11-17 09:21:39,1311926.9117593134
224,2017-11-17 15:05:11,2017-11-17 15:14:34,940284.815739885
225,2017-11-17 15:49:56,2017-11-17 18:19:42,62807052.9093109
226,2017-11-18 08:06:47,2017-11-18 10:18:42,67295518.90008569
227,2017-11-18 11:39:01,2017-11-18 11:51:01,1314799.782020403
228,2017-11-18 12:37:37,2017-11-18 13:22:25,5838947.558753516
229,2017-11-18 14:13:40,2017-11-18 14:33:09,2291519.695064524
230,2017-11-18 15:05:39,2017-11-18 15:15:58,1143431.3691069188
231,2017-11-18 17:13:13,2017-11-18 17:42:27,3823252.5800250755
232,2017-11-18 18:32:15,2017-11-18 23:33:17,17054911.256269842
233,2017-11-19 01:14:04,2017-11-19 01:22:22,842165.6602113234
234,2017-11-19 10:00:08,2017-11-19 11:14:18,4602597.9041815195
235,2017-11-19 12:57:29,2017-11-19 14:38:12,9364492.643777302
236,2017-11-19 18:16:18,2017-11-19 18:53:24,983992.6746135238
237,2017-11-19 19:25:04,2017-11-19 19:35:34,893365.1828390561
238,2017-11-19 20:12:25,2017-11-19 20:21:35,891268.2061911158
239,2017-11-19 22:00:08,2017-11-19 22:08:47,870133.7541871308
240,2017-11-20 09:57:51,2017-11-20 10:31:44,1881411.5436479903
241,2017-11-20 11:34:13,2017-11-20 11:37:19,152302.07591537427
242,2017-11-20 12:17:20,2017-11-20 12:37:26,511692.3857425556
243,2017-11-20 14:39:15,2017-11-20 14:51:55,447489.1372953032
244,2017-11-20 15:41:36,2017-11-20 15:50:15,735198.985832948
245,2017-11-20 16:35:26,2017-11-20 18:18:27,2505152.8265812397
246,2017-11-20 20:05:12,2017-11-20 21:03:01,3340275.098863478
247,2017-11-21 05:48:44,2017-11-21 06:04:49,1845906.1560515184
248,2017-11-21 07:05:13,2017-11-21 07:27:45,1839644.840507772
249,2017-11-21 08:54:04,2017-11-21 09:08:38,966726.4041163123
250,2017-11-21 11:09:37,2017-11-21 12:08:13,4714316.357251006
251,2017-11-21 13:58:50,2017-11-21 14:16:36,1338057.2825210027
