timestamps,S1_PID_0C_EngineRPM
2019-09-27 17:21:38.335900068+01:00,1579.0
2019-09-27 17:21:38.535949945+01:00,1571.0
2019-09-27 17:21:38.737400055+01:00,1541.0
2019-09-27 17:21:38.935950041+01:00,1519.0
2019-09-27 17:21:39.135950089+01:00,1491.0
2019-09-27 17:21:39.335900068+01:00,1474.0
2019-09-27 17:21:39.536050080+01:00,1453.0
2019-09-27 17:21:39.736000061+01:00,1432.0
2019-09-27 17:21:39.935950041+01:00,1411.0
2019-09-27 17:21:40.135799885+01:00,1391.0
2019-09-27 17:21:40.335999966+01:00,1380.0
2019-09-27 17:21:40.536149979+01:00,1365.0
2019-09-27 17:21:40.736000061+01:00,1356.0
2019-09-27 17:21:40.936049938+01:00,1344.0
2019-09-27 17:21:41.136149883+01:00,1335.0
2019-09-27 17:21:41.336100101+01:00,1322.0
2019-09-27 17:21:41.536099911+01:00,1311.0
2019-09-27 17:21:41.736099958+01:00,1300.0
2019-09-27 17:21:41.936199903+01:00,1287.0
2019-09-27 17:21:42.136149883+01:00,1276.0
2019-09-27 17:21:42.336199999+01:00,1268.0
2019-09-27 17:21:42.536350012+01:00,1254.0
2019-09-27 17:21:42.736200094+01:00,1238.0
2019-09-27 17:21:42.936249971+01:00,1223.0
2019-09-27 17:21:43.136399984+01:00,1212.0
2019-09-27 17:21:43.336250067+01:00,1207.0
2019-09-27 17:21:43.536299944+01:00,1188.0
2019-09-27 17:21:43.736299992+01:00,1182.0
2019-09-27 17:21:43.936350107+01:00,1177.0
2019-09-27 17:21:44.136100054+01:00,1171.0
2019-09-27 17:21:44.337450027+01:00,1166.0
2019-09-27 17:21:44.537400007+01:00,1159.0
2019-09-27 17:21:44.737299919+01:00,1072.0
2019-09-27 17:21:44.937599897+01:00,1100.0
2019-09-27 17:21:45.137749910+01:00,1110.0
2019-09-27 17:21:45.337500095+01:00,1059.0
2019-09-27 17:21:45.536449909+01:00,988.0
2019-09-27 17:21:45.736500025+01:00,940.0
2019-09-27 17:21:45.937849998+01:00,919.0
2019-09-27 17:21:46.137749910+01:00,902.0
2019-09-27 17:21:46.337650061+01:00,910.0
2019-09-27 17:21:46.537899971+01:00,923.0
2019-09-27 17:21:46.737900019+01:00,906.0
2019-09-27 17:21:46.937599897+01:00,893.0
2019-09-27 17:21:47.137650013+01:00,897.0
2019-09-27 17:21:47.338049889+01:00,895.0
2019-09-27 17:21:47.537849903+01:00,888.0
2019-09-27 17:21:47.737600088+01:00,878.0
2019-09-27 17:21:47.937799931+01:00,898.0
2019-09-27 17:21:48.138050079+01:00,903.0
2019-09-27 17:21:48.337450027+01:00,889.0
2019-09-27 17:21:48.537750006+01:00,884.0
2019-09-27 17:21:48.737799883+01:00,901.0
2019-09-27 17:21:48.931999922+01:00,912.0
2019-09-27 17:21:49.138099909+01:00,910.0
2019-09-27 17:21:49.338000059+01:00,901.0
2019-09-27 17:21:49.537800074+01:00,913.0
2019-09-27 17:21:49.737799883+01:00,918.0
2019-09-27 17:21:49.937900066+01:00,907.0
2019-09-27 17:21:50.137300014+01:00,900.0
2019-09-27 17:21:50.337100029+01:00,899.0
2019-09-27 17:21:50.537950039+01:00,908.0
2019-09-27 17:21:50.737250090+01:00,900.0
2019-09-27 17:22:08.937849998+01:00,1567.0
2019-09-27 17:22:09.138050079+01:00,1536.0
2019-09-27 17:22:09.338000059+01:00,1711.0
2019-09-27 17:22:09.537950039+01:00,1805.0
2019-09-27 17:22:09.737799883+01:00,1883.0
2019-09-27 17:22:09.937849998+01:00,1953.0
2019-09-27 17:22:10.139450073+01:00,2021.0
2019-09-27 17:22:10.338049889+01:00,2052.0
2019-09-27 17:22:10.538049936+01:00,2102.0
2019-09-27 17:22:10.737950087+01:00,2092.0
2019-09-27 17:22:10.937999964+01:00,2126.0
2019-09-27 17:22:11.138000011+01:00,2147.0
2019-09-27 17:22:11.338200092+01:00,2193.0
2019-09-27 17:22:11.537899971+01:00,2289.0
2019-09-27 17:22:11.738199949+01:00,2377.0
2019-09-27 17:22:11.937999964+01:00,2498.0
2019-09-27 17:22:12.138400078+01:00,2613.0
2019-09-27 17:22:12.338299990+01:00,2747.0
2019-09-27 17:22:12.538100004+01:00,2870.0
2019-09-27 17:22:12.738049984+01:00,3006.0
2019-09-27 17:22:12.938100100+01:00,3015.0
2019-09-27 17:22:13.138250113+01:00,2871.0
2019-09-27 17:22:13.338150024+01:00,2626.0
2019-09-27 17:22:13.538100004+01:00,2383.0
2019-09-27 17:22:13.738149881+01:00,2132.0
2019-09-27 17:22:13.938299894+01:00,1881.0
2019-09-27 17:22:14.138299942+01:00,1622.0
2019-09-27 17:22:14.338200092+01:00,1402.0
2019-09-27 17:22:14.538199902+01:00,1360.0
2019-09-27 17:22:14.738300085+01:00,1816.0
2019-09-27 17:22:14.938450098+01:00,1625.0
2019-09-27 17:22:15.138400078+01:00,1757.0
2019-09-27 17:22:15.338249922+01:00,1771.0
2019-09-27 17:22:15.538399935+01:00,1842.0
2019-09-27 17:22:15.738399982+01:00,1888.0
2019-09-27 17:22:15.938400030+01:00,1970.0
2019-09-27 17:22:16.138350010+01:00,2063.0
2019-09-27 17:22:16.338249922+01:00,2150.0
2019-09-27 17:22:16.538399935+01:00,2223.0
2019-09-27 17:22:16.738549948+01:00,2289.0
2019-09-27 17:22:16.938450098+01:00,2368.0
2019-09-27 17:22:17.138400078+01:00,2458.0
2019-09-27 17:22:17.338550091+01:00,2538.0
2019-09-27 17:22:17.538650036+01:00,2603.0
2019-09-27 17:22:17.738549948+01:00,2678.0
2019-09-27 17:22:17.938549995+01:00,2751.0
2019-09-27 17:22:18.138449907+01:00,2810.0
2019-09-27 17:22:18.338599920+01:00,2878.0
2019-09-27 17:22:18.538399935+01:00,2934.0
2019-09-27 17:22:18.738500118+01:00,3002.0
2019-09-27 17:22:18.938499928+01:00,3007.0
2019-09-27 17:22:19.138700008+01:00,2769.0
2019-09-27 17:22:19.338749886+01:00,2400.0
2019-09-27 17:22:19.538549900+01:00,2016.0
2019-09-27 17:22:19.738500118+01:00,1644.0
2019-09-27 17:22:19.938499928+01:00,1380.0
