timestamps,S1_PID_0D_VehicleSpeed
2019-09-27 17:23:45.164499998+01:00,60
2019-09-27 17:23:45.364399910+01:00,60
2019-09-27 17:23:45.564399958+01:00,60
2019-09-27 17:23:45.764549971+01:00,60
2019-09-27 17:23:45.964449883+01:00,60
2019-09-27 17:23:46.164499998+01:00,60
2019-09-27 17:23:46.364599943+01:00,60
2019-09-27 17:23:46.564500093+01:00,60
2019-09-27 17:23:46.764600039+01:00,60
2019-09-27 17:23:46.964649916+01:00,60
2019-09-27 17:23:47.164550066+01:00,60
2019-09-27 17:23:47.364550114+01:00,60
2019-09-27 17:23:47.564549923+01:00,60
2019-09-27 17:23:47.764549971+01:00,60
2019-09-27 17:23:47.964900017+01:00,60
2019-09-27 17:23:48.164700031+01:00,60
2019-09-27 17:23:48.364599943+01:00,60
2019-09-27 17:23:48.564650059+01:00,60
2019-09-27 17:23:48.764600039+01:00,60
2019-09-27 17:23:48.964649916+01:00,60
2019-09-27 17:23:49.164900064+01:00,60
2019-09-27 17:23:49.364850044+01:00,60
2019-09-27 17:23:49.564699888+01:00,61
2019-09-27 17:23:49.764699936+01:00,61
2019-09-27 17:23:49.964699984+01:00,61
2019-09-27 17:23:50.164750099+01:00,61
2019-09-27 17:23:50.365000010+01:00,61
2019-09-27 17:23:50.564899921+01:00,61
2019-09-27 17:23:50.764899969+01:00,61
2019-09-27 17:23:50.964849949+01:00,60
2019-09-27 17:23:51.166300058+01:00,60
2019-09-27 17:23:51.365000010+01:00,60
2019-09-27 17:23:51.564850092+01:00,60
2019-09-27 17:23:51.764849901+01:00,60
2019-09-27 17:23:51.964950085+01:00,60
2019-09-27 17:23:52.164900064+01:00,60
2019-09-27 17:23:52.365099907+01:00,60
2019-09-27 17:23:52.564899921+01:00,60
2019-09-27 17:23:52.764899969+01:00,60
2019-09-27 17:23:52.964950085+01:00,60
2019-09-27 17:23:53.164999962+01:00,60
2019-09-27 17:23:53.365000010+01:00,60
2019-09-27 17:23:53.564949989+01:00,60
2019-09-27 17:23:53.765000105+01:00,60
2019-09-27 17:23:53.964999914+01:00,60
2019-09-27 17:23:54.165050030+01:00,60
2019-09-27 17:23:54.365050077+01:00,60
2019-09-27 17:23:54.565049887+01:00,60
2019-09-27 17:23:54.765100002+01:00,60
2019-09-27 17:23:54.965049982+01:00,60
2019-09-27 17:23:55.165250063+01:00,60
2019-09-27 17:23:55.365250111+01:00,60
2019-09-27 17:23:55.565200090+01:00,60
2019-09-27 17:23:55.765249968+01:00,60
2019-09-27 17:23:55.965150118+01:00,60
2019-09-27 17:23:56.165199995+01:00,60
2019-09-27 17:23:56.365250111+01:00,60
2019-09-27 17:23:56.565200090+01:00,59
2019-09-27 17:23:56.765300035+01:00,59
2019-09-27 17:23:56.965650082+01:00,59
2019-09-27 17:23:57.165250063+01:00,59
2019-09-27 17:23:57.365350008+01:00,59
2019-09-27 17:23:57.565350056+01:00,59
2019-09-27 17:23:57.765399933+01:00,59
2019-09-27 17:23:57.965349913+01:00,59
2019-09-27 17:23:58.165299892+01:00,59
2019-09-27 17:23:58.365350008+01:00,58
2019-09-27 17:23:58.565299988+01:00,58
2019-09-27 17:23:58.765450001+01:00,58
2019-09-27 17:23:58.965349913+01:00,58
2019-09-27 17:23:59.165349960+01:00,58
2019-09-27 17:23:59.365400076+01:00,58
2019-09-27 17:23:59.565399885+01:00,58
2019-09-27 17:23:59.765399933+01:00,58
2019-09-27 17:23:59.965399981+01:00,58
2019-09-27 17:24:00.165450096+01:00,58
2019-09-27 17:24:00.365900040+01:00,58
2019-09-27 17:24:00.565500021+01:00,57
2019-09-27 17:24:00.765599966+01:00,57
2019-09-27 17:24:00.965749979+01:00,57
2019-09-27 17:24:01.165849924+01:00,57
2019-09-27 17:24:01.365550041+01:00,57
2019-09-27 17:24:01.565500021+01:00,57
2019-09-27 17:24:01.765650034+01:00,57
2019-09-27 17:24:01.965549946+01:00,57
2019-09-27 17:24:02.165750027+01:00,57
2019-09-27 17:24:02.365900040+01:00,57
2019-09-27 17:24:02.565599918+01:00,57
2019-09-27 17:24:02.765650034+01:00,56
2019-09-27 17:24:02.965650082+01:00,56
2019-09-27 17:24:03.165750027+01:00,56
2019-09-27 17:24:03.366600037+01:00,56
2019-09-27 17:24:03.566050053+01:00,56
2019-09-27 17:24:03.766099930+01:00,56
2019-09-27 17:24:03.966599941+01:00,56
2019-09-27 17:24:04.165849924+01:00,56
2019-09-27 17:24:04.365750074+01:00,56
2019-09-27 17:24:04.565749884+01:00,56
2019-09-27 17:24:04.765749931+01:00,56
2019-09-27 17:24:04.965749979+01:00,56
2019-09-27 17:24:05.165800095+01:00,56
2019-09-27 17:24:05.365849972+01:00,56
2019-09-27 17:24:05.566550016+01:00,56
2019-09-27 17:24:05.766550064+01:00,56
2019-09-27 17:24:05.966350079+01:00,56
2019-09-27 17:24:06.166899920+01:00,56
2019-09-27 17:24:06.366650105+01:00,56
2019-09-27 17:24:06.566699982+01:00,56
2019-09-27 17:24:06.766700029+01:00,56
2019-09-27 17:24:06.966749907+01:00,56
2019-09-27 17:24:07.166549921+01:00,56
2019-09-27 17:24:07.366800070+01:00,56
2019-09-27 17:24:07.566750050+01:00,56
2019-09-27 17:24:07.766700029+01:00,56
2019-09-27 17:24:07.966749907+01:00,56
2019-09-27 17:24:08.166949987+01:00,56
2019-09-27 17:24:08.366050005+01:00,56
2019-09-27 17:24:08.566750050+01:00,56
2019-09-27 17:24:08.766700029+01:00,56
2019-09-27 17:24:08.966749907+01:00,56
2019-09-27 17:24:09.166800022+01:00,57
2019-09-27 17:24:09.366750002+01:00,57
2019-09-27 17:24:09.566750050+01:00,57
2019-09-27 17:24:09.766700029+01:00,57
2019-09-27 17:24:09.966749907+01:00,57
2019-09-27 17:24:10.166749954+01:00,57
2019-09-27 17:24:10.366750002+01:00,57
2019-09-27 17:24:10.566400051+01:00,57
2019-09-27 17:24:10.766700029+01:00,57
2019-09-27 17:24:10.966749907+01:00,57
2019-09-27 17:24:11.166500092+01:00,57
2019-09-27 17:24:11.366499901+01:00,57
2019-09-27 17:24:11.566450119+01:00,57
2019-09-27 17:24:11.766249895+01:00,57
2019-09-27 17:24:11.966500044+01:00,58
2019-09-27 17:24:12.166450024+01:00,58
2019-09-27 17:24:12.366499901+01:00,58
2019-09-27 17:24:12.566450119+01:00,58
2019-09-27 17:24:12.766499996+01:00,58
2019-09-27 17:24:12.966700077+01:00,58
2019-09-27 17:24:13.166549921+01:00,58
2019-09-27 17:24:13.366499901+01:00,58
2019-09-27 17:24:13.566499949+01:00,58
2019-09-27 17:24:13.766499996+01:00,58
2019-09-27 17:24:13.966500044+01:00,58
2019-09-27 17:24:14.166650057+01:00,58
2019-09-27 17:24:14.366750002+01:00,58
2019-09-27 17:24:14.566499949+01:00,58
2019-09-27 17:24:14.766550064+01:00,59
2019-09-27 17:24:14.966449976+01:00,59
2019-09-27 17:24:15.166699886+01:00,59
2019-09-27 17:24:15.366499901+01:00,59
2019-09-27 17:24:15.566550016+01:00,59
2019-09-27 17:24:15.766700029+01:00,59
2019-09-27 17:24:15.966500044+01:00,59
2019-09-27 17:24:16.166699886+01:00,59
2019-09-27 17:24:16.366600037+01:00,59
2019-09-27 17:24:16.566849947+01:00,59
2019-09-27 17:24:16.766700029+01:00,59
2019-09-27 17:24:16.966700077+01:00,59
2019-09-27 17:24:17.166650057+01:00,59
2019-09-27 17:24:17.366650105+01:00,59
2019-09-27 17:24:17.566800117+01:00,59
2019-09-27 17:24:17.766649961+01:00,59
2019-09-27 17:24:17.966749907+01:00,59
2019-09-27 17:24:18.166699886+01:00,59
2019-09-27 17:24:18.366750002+01:00,59
2019-09-27 17:24:18.567450047+01:00,59
2019-09-27 17:24:18.766700029+01:00,59
2019-09-27 17:24:18.966749907+01:00,60
2019-09-27 17:24:19.167000055+01:00,60
2019-09-27 17:24:19.366800070+01:00,60
2019-09-27 17:24:19.566800117+01:00,60
2019-09-27 17:24:19.767199993+01:00,60
2019-09-27 17:24:19.967050076+01:00,60
2019-09-27 17:24:20.166850090+01:00,60
2019-09-27 17:24:20.366899967+01:00,60
2019-09-27 17:24:20.566999912+01:00,60
2019-09-27 17:24:20.767149925+01:00,60
2019-09-27 17:24:20.967000008+01:00,60
2019-09-27 17:24:21.167000055+01:00,60
2019-09-27 17:24:21.367000103+01:00,60
2019-09-27 17:24:21.566950083+01:00,60
2019-09-27 17:24:21.767050028+01:00,60
2019-09-27 17:24:21.966949940+01:00,60
2019-09-27 17:24:22.167000055+01:00,60
2019-09-27 17:24:22.367000103+01:00,60
