timestamps,S1_PID_05_EngineCoolantTemp
2019-09-27 17:24:00.085449934+01:00,82.0
2019-09-27 17:24:01.085700035+01:00,82.0
2019-09-27 17:24:02.085599899+01:00,82.0
2019-09-27 17:24:03.085649967+01:00,82.0
2019-09-27 17:24:04.086499929+01:00,81.0
2019-09-27 17:24:05.086600065+01:00,81.0
2019-09-27 17:24:06.086100101+01:00,81.0
2019-09-27 17:24:07.086800098+01:00,81.0
2019-09-27 17:24:08.086750031+01:00,81.0
2019-09-27 17:24:09.086750031+01:00,81.0
2019-09-27 17:24:10.086750031+01:00,81.0
2019-09-27 17:24:11.086750031+01:00,81.0
2019-09-27 17:24:12.086499929+01:00,81.0
2019-09-27 17:24:13.086499929+01:00,81.0
2019-09-27 17:24:14.086499929+01:00,81.0
2019-09-27 17:24:15.086849928+01:00,81.0
2019-09-27 17:24:16.086600065+01:00,80.0
2019-09-27 17:24:17.086649895+01:00,80.0
2019-09-27 17:24:18.086750031+01:00,80.0
2019-09-27 17:24:19.086750031+01:00,80.0
2019-09-27 17:24:20.086899996+01:00,80.0
2019-09-27 17:24:21.086999893+01:00,79.0
2019-09-27 17:24:22.086999893+01:00,79.0
2019-09-27 17:24:23.087300062+01:00,79.0
2019-09-27 17:24:24.087150097+01:00,79.0
2019-09-27 17:24:25.087349892+01:00,79.0
2019-09-27 17:24:26.087300062+01:00,79.0
2019-09-27 17:24:27.087349892+01:00,79.0
2019-09-27 17:24:28.087500095+01:00,79.0
2019-09-27 17:24:29.087450027+01:00,79.0
2019-09-27 17:24:30.087549925+01:00,79.0
2019-09-27 17:24:31.087749958+01:00,79.0
2019-09-27 17:24:32.087699890+01:00,79.0
2019-09-27 17:24:33.087749958+01:00,79.0
2019-09-27 17:24:34.087800026+01:00,78.0
2019-09-27 17:24:35.087899923+01:00,78.0
2019-09-27 17:24:36.087949991+01:00,78.0
2019-09-27 17:24:37.088000059+01:00,78.0
2019-09-27 17:24:38.088099957+01:00,78.0
2019-09-27 17:24:39.088299990+01:00,78.0
2019-09-27 17:24:40.088449955+01:00,78.0
2019-09-27 17:24:41.089050055+01:00,78.0
2019-09-27 17:24:42.088399887+01:00,78.0
2019-09-27 17:24:43.088449955+01:00,78.0
2019-09-27 17:24:44.088599920+01:00,78.0
2019-09-27 17:24:45.088850021+01:00,78.0
2019-09-27 17:24:46.088749886+01:00,79.0
2019-09-27 17:24:47.088850021+01:00,79.0
2019-09-27 17:24:48.088799953+01:00,79.0
2019-09-27 17:24:49.088850021+01:00,79.0
2019-09-27 17:24:50.089200020+01:00,80.0
2019-09-27 17:24:51.089099884+01:00,80.0
2019-09-27 17:24:52.089099884+01:00,80.0
2019-09-27 17:24:53.089250088+01:00,81.0
2019-09-27 17:24:54.089299917+01:00,81.0
2019-09-27 17:24:55.089299917+01:00,81.0
2019-09-27 17:24:56.089349985+01:00,81.0
2019-09-27 17:24:57.089400053+01:00,81.0
2019-09-27 17:24:58.089499950+01:00,81.0
2019-09-27 17:25:05.090150118+01:00,83.0
2019-09-27 17:25:06.090349913+01:00,83.0
2019-09-27 17:25:07.090100050+01:00,83.0
2019-09-27 17:25:08.090199947+01:00,83.0
2019-09-27 17:25:09.090250015+01:00,83.0
2019-09-27 17:25:10.090349913+01:00,83.0
2019-09-27 17:25:11.090500116+01:00,83.0
2019-09-27 17:25:12.090600014+01:00,84.0
2019-09-27 17:25:13.090549946+01:00,84.0
2019-09-27 17:25:14.090600014+01:00,84.0
2019-09-27 17:25:15.090650082+01:00,84.0
2019-09-27 17:25:16.090749979+01:00,84.0
2019-09-27 17:25:17.090800047+01:00,84.0
2019-09-27 17:25:18.090899944+01:00,84.0
2019-09-27 17:25:19.090950012+01:00,84.0
2019-09-27 17:25:37.092299938+01:00,84.0
2019-09-27 17:25:38.092299938+01:00,84.0
2019-09-27 17:25:39.092400074+01:00,84.0
2019-09-27 17:25:40.093100071+01:00,84.0
2019-09-27 17:25:41.092700005+01:00,85.0
2019-09-27 17:25:42.092700005+01:00,85.0
2019-09-27 17:25:43.092649937+01:00,85.0
2019-09-27 17:25:44.092700005+01:00,86.0
2019-09-27 17:25:45.092849970+01:00,86.0
2019-09-27 17:25:46.092849970+01:00,86.0
2019-09-27 17:25:47.093149900+01:00,86.0
2019-09-27 17:25:48.092999935+01:00,86.0
2019-09-27 17:25:49.093050003+01:00,87.0
2019-09-27 17:25:50.093149900+01:00,87.0
2019-09-27 17:25:51.093300104+01:00,88.0
2019-09-27 17:25:52.093250036+01:00,88.0
2019-09-27 17:25:53.093349934+01:00,88.0
2019-09-27 17:25:54.093400002+01:00,88.0
2019-09-27 17:25:55.093499899+01:00,88.0
2019-09-27 17:25:56.093650103+01:00,89.0
2019-09-27 17:25:57.094000101+01:00,89.0
2019-09-27 17:25:58.093849897+01:00,89.0
2019-09-27 17:25:59.093750+01:00,89.0
2019-09-27 17:26:00.093849897+01:00,89.0
2019-09-27 17:26:01.094199896+01:00,89.0
2019-09-27 17:26:02.094000101+01:00,90.0
2019-09-27 17:26:03.094049931+01:00,90.0
2019-09-27 17:26:04.095249891+01:00,90.0
2019-09-27 17:26:05.094199896+01:00,90.0
2019-09-27 17:26:06.094249964+01:00,90.0
2019-09-27 17:26:07.094350100+01:00,90.0
2019-09-27 17:26:08.094399929+01:00,91.0
2019-09-27 17:26:09.094549894+01:00,91.0
2019-09-27 17:26:10.094549894+01:00,91.0
2019-09-27 17:26:11.094749928+01:00,91.0
2019-09-27 17:26:12.095499992+01:00,91.0
2019-09-27 17:26:13.094749928+01:00,91.0
2019-09-27 17:26:14.095599890+01:00,91.0
2019-09-27 17:26:15.095449924+01:00,91.0
2019-09-27 17:26:16.095449924+01:00,91.0
2019-09-27 17:26:17.095599890+01:00,91.0
2019-09-27 17:26:18.095400095+01:00,91.0
2019-09-27 17:26:19.095449924+01:00,91.0
2019-09-27 17:26:20.095550060+01:00,91.0
2019-09-27 17:26:21.095799923+01:00,91.0
2019-09-27 17:26:22.095599890+01:00,91.0
2019-09-27 17:26:23.095849991+01:00,91.0
2019-09-27 17:26:24.095649958+01:00,91.0
2019-09-27 17:26:25.095599890+01:00,91.0
2019-09-27 17:26:26.095750093+01:00,91.0
2019-09-27 17:26:27.095750093+01:00,91.0
2019-09-27 17:26:28.095799923+01:00,91.0
2019-09-27 17:26:29.095849991+01:00,91.0
2019-09-27 17:26:30.096149921+01:00,91.0
2019-09-27 17:26:31.096149921+01:00,92.0
2019-09-27 17:26:32.096149921+01:00,92.0
2019-09-27 17:26:33.096149921+01:00,92.0
2019-09-27 17:26:34.096199989+01:00,93.0
2019-09-27 17:26:35.096299887+01:00,93.0
2019-09-27 17:26:36.096499920+01:00,93.0
2019-09-27 17:26:37.096750021+01:00,93.0
2019-09-27 17:26:38.096600056+01:00,93.0
2019-09-27 17:26:39.096549988+01:00,93.0
2019-09-27 17:26:40.096699953+01:00,94.0
2019-09-27 17:26:41.096750021+01:00,94.0
2019-09-27 17:26:42.096800089+01:00,94.0
2019-09-27 17:26:43.096849918+01:00,94.0
2019-09-27 17:26:44.096899986+01:00,94.0
2019-09-27 17:26:45.096999884+01:00,94.0
2019-09-27 17:26:46.097049952+01:00,94.0
2019-09-27 17:26:47.097100019+01:00,94.0
2019-09-27 17:26:48.097199917+01:00,94.0
2019-09-27 17:26:49.097399950+01:00,94.0
2019-09-27 17:26:50.097349882+01:00,94.0
2019-09-27 17:27:31.100300074+01:00,95.0
2019-09-27 17:27:32.100300074+01:00,95.0
2019-09-27 17:27:33.100349903+01:00,95.0
2019-09-27 17:27:34.100650072+01:00,95.0
2019-09-27 17:27:35.100500107+01:00,95.0
2019-09-27 17:27:36.100549936+01:00,96.0
2019-09-27 17:27:37.100749969+01:00,96.0
2019-09-27 17:27:38.100899935+01:00,96.0
2019-09-27 17:27:39.100749969+01:00,96.0
2019-09-27 17:27:40.100850105+01:00,96.0
2019-09-27 17:27:41.101000071+01:00,96.0
2019-09-27 17:27:42.101000071+01:00,97.0
2019-09-27 17:27:43.101150036+01:00,97.0
2019-09-27 17:27:44.101099968+01:00,98.0
2019-09-27 17:27:45.101200104+01:00,98.0
2019-09-27 17:27:46.101399899+01:00,98.0
2019-09-27 17:27:47.101449966+01:00,98.0
2019-09-27 17:27:48.101399899+01:00,98.0
2019-09-27 17:27:49.101449966+01:00,98.0
2019-09-27 17:27:50.101599932+01:00,98.0
2019-09-27 17:27:51.101900101+01:00,98.0
2019-09-27 17:27:52.101700068+01:00,98.0
2019-09-27 17:27:53.103800058+01:00,98.0
2019-09-27 17:27:54.101799965+01:00,98.0
2019-09-27 17:27:55.101900101+01:00,98.0
2019-09-27 17:27:56.101949930+01:00,98.0
2019-09-27 17:27:57.102050066+01:00,98.0
2019-09-27 17:27:58.102099895+01:00,98.0
2019-09-27 17:27:59.102149963+01:00,98.0
2019-09-27 17:28:00.102299929+01:00,98.0
2019-09-27 17:28:01.102449894+01:00,98.0
2019-09-27 17:28:02.102400064+01:00,98.0
2019-09-27 17:28:03.102649927+01:00,98.0
2019-09-27 17:28:04.103749990+01:00,98.0
2019-09-27 17:28:05.102600098+01:00,99.0
2019-09-27 17:28:06.102649927+01:00,99.0
2019-09-27 17:28:07.102750063+01:00,99.0
2019-09-27 17:28:08.102799892+01:00,99.0
2019-09-27 17:28:09.103749990+01:00,99.0
2019-09-27 17:28:10.104199886+01:00,99.0
2019-09-27 17:28:11.103650093+01:00,99.0
2019-09-27 17:28:12.103699923+01:00,99.0
2019-09-27 17:28:13.103650093+01:00,99.0
2019-09-27 17:28:14.103650093+01:00,99.0
2019-09-27 17:28:15.103650093+01:00,99.0
2019-09-27 17:28:16.103650093+01:00,99.0
2019-09-27 17:28:17.103650093+01:00,99.0
2019-09-27 17:28:18.103650093+01:00,99.0
2019-09-27 17:28:19.103650093+01:00,99.0
2019-09-27 17:28:20.103650093+01:00,99.0
2019-09-27 17:28:21.103749990+01:00,99.0
2019-09-27 17:28:22.104150057+01:00,99.0
2019-09-27 17:28:23.103849888+01:00,99.0
2019-09-27 17:28:24.103950024+01:00,99.0
2019-09-27 17:28:25.104099989+01:00,99.0
2019-09-27 17:28:26.104049921+01:00,98.0
2019-09-27 17:28:27.104150057+01:00,97.0
2019-09-27 17:28:28.104300022+01:00,94.0
2019-09-27 17:28:29.104350090+01:00,91.0
2019-09-27 17:28:30.104500055+01:00,88.0
2019-09-27 17:28:31.104449987+01:00,84.0
2019-09-27 17:28:32.104500055+01:00,83.0
2019-09-27 17:28:33.104599953+01:00,82.0
2019-09-27 17:28:34.104650021+01:00,81.0
2019-09-27 17:28:35.104700089+01:00,81.0
2019-09-27 17:28:36.104749918+01:00,80.0
2019-09-27 17:28:37.105050087+01:00,80.0
2019-09-27 17:28:38.105000019+01:00,80.0
2019-09-27 17:28:39.105050087+01:00,81.0
2019-09-27 17:28:40.105099916+01:00,81.0
2019-09-27 17:28:41.105149984+01:00,81.0
2019-09-27 17:28:42.105200052+01:00,81.0
2019-09-27 17:28:43.105249882+01:00,82.0
2019-09-27 17:28:44.105299950+01:00,82.0
2019-09-27 17:28:45.105400085+01:00,82.0
2019-09-27 17:28:46.105849981+01:00,83.0
2019-09-27 17:28:47.105550051+01:00,83.0
2019-09-27 17:29:00.106549978+01:00,85.0
2019-09-27 17:29:01.106549978+01:00,85.0
2019-09-27 17:29:02.106950045+01:00,85.0
2019-09-27 17:29:04.106750011+01:00,85.0
2019-09-27 17:29:05.106849909+01:00,86.0
2019-09-27 17:29:06.107049942+01:00,86.0
2019-09-27 17:29:07.106950045+01:00,86.0
2019-09-27 17:29:08.107100010+01:00,86.0
2019-09-27 17:29:09.107100010+01:00,86.0
2019-09-27 17:29:10.107199907+01:00,86.0
2019-09-27 17:29:11.107249975+01:00,86.0
2019-09-27 17:29:12.107350111+01:00,87.0
2019-09-27 17:29:13.107500076+01:00,87.0
2019-09-27 17:29:14.107500076+01:00,87.0
2019-09-27 17:29:15.107500076+01:00,87.0
2019-09-27 17:29:16.107650042+01:00,87.0
