timestamps,response,length,service
2019-09-27 17:20:10.589950085+01:00,4,3,1
2019-09-27 17:20:10.629699945+01:00,4,4,1
2019-09-27 17:20:10.709800005+01:00,4,3,1
2019-09-27 17:20:10.729749918+01:00,4,4,1
2019-09-27 17:20:10.749799967+01:00,4,3,1
2019-09-27 17:20:10.789900064+01:00,4,3,1
2019-09-27 17:20:10.829750061+01:00,4,4,1
2019-09-27 17:20:10.909749985+01:00,4,3,1
2019-09-27 17:20:10.930000067+01:00,4,4,1
2019-09-27 17:20:10.949899912+01:00,4,3,1
2019-09-27 17:20:10.989700079+01:00,4,3,1
2019-09-27 17:20:11.029900074+01:00,4,4,1
2019-09-27 17:20:11.070100069+01:00,4,3,1
2019-09-27 17:20:11.109750032+01:00,4,3,1
2019-09-27 17:20:11.129800081+01:00,4,4,1
2019-09-27 17:20:11.149950027+01:00,4,3,1
2019-09-27 17:20:11.189749956+01:00,4,3,1
2019-09-27 17:20:11.230000019+01:00,4,4,1
2019-09-27 17:20:11.309950113+01:00,4,3,1
2019-09-27 17:20:11.329900026+01:00,4,4,1
2019-09-27 17:20:11.349800110+01:00,4,3,1
2019-09-27 17:20:11.389750004+01:00,4,3,1
2019-09-27 17:20:11.430099964+01:00,4,4,1
2019-09-27 17:20:11.510699986+01:00,4,3,1
2019-09-27 17:20:11.530349969+01:00,4,4,1
2019-09-27 17:20:11.549849987+01:00,4,3,1
2019-09-27 17:20:11.589950085+01:00,4,3,1
2019-09-27 17:20:11.629800081+01:00,4,4,1
2019-09-27 17:20:11.705300093+01:00,4,3,1
2019-09-27 17:20:11.730050087+01:00,4,4,1
2019-09-27 17:20:11.749799967+01:00,4,3,1
2019-09-27 17:20:11.789750099+01:00,4,3,1
2019-09-27 17:20:11.829750061+01:00,4,4,1
2019-09-27 17:20:11.909699917+01:00,4,3,1
2019-09-27 17:20:11.929800034+01:00,4,4,1
2019-09-27 17:20:11.950000048+01:00,4,3,1
2019-09-27 17:20:11.989700079+01:00,4,3,1
2019-09-27 17:20:12.030100107+01:00,4,4,1
2019-09-27 17:20:12.069799900+01:00,4,3,1
2019-09-27 17:20:12.109999895+01:00,4,3,1
2019-09-27 17:20:12.129849911+01:00,4,4,1
2019-09-27 17:20:12.149749994+01:00,4,3,1
2019-09-27 17:20:12.189749956+01:00,4,3,1
2019-09-27 17:20:12.225349903+01:00,4,4,1
2019-09-27 17:20:12.309750080+01:00,4,3,1
2019-09-27 17:20:12.329849958+01:00,4,4,1
2019-09-27 17:20:12.349950075+01:00,4,3,1
2019-09-27 17:20:12.389849901+01:00,4,3,1
2019-09-27 17:20:12.429949999+01:00,4,4,1
2019-09-27 17:20:12.509850025+01:00,4,3,1
2019-09-27 17:20:12.530200005+01:00,4,4,1
2019-09-27 17:20:12.549900055+01:00,4,3,1
2019-09-27 17:20:12.589750051+01:00,4,3,1
2019-09-27 17:20:12.629800081+01:00,4,4,1
2019-09-27 17:20:12.709749937+01:00,4,3,1
2019-09-27 17:20:12.730149984+01:00,4,4,1
2019-09-27 17:20:12.749900103+01:00,4,3,1
2019-09-27 17:20:12.789750099+01:00,4,3,1
2019-09-27 17:20:12.829849958+01:00,4,4,1
2019-09-27 17:20:12.909950018+01:00,4,3,1
2019-09-27 17:20:12.929899931+01:00,4,4,1
2019-09-27 17:20:12.949749947+01:00,4,3,1
2019-09-27 17:20:12.989949942+01:00,4,3,1
2019-09-27 17:20:13.030400038+01:00,4,4,1
2019-09-27 17:20:13.071000099+01:00,4,3,1
2019-09-27 17:20:13.109899998+01:00,4,3,1
2019-09-27 17:20:13.130049944+01:00,4,4,1
2019-09-27 17:20:13.150049925+01:00,4,3,1
2019-09-27 17:20:13.189800024+01:00,4,3,1
2019-09-27 17:20:13.230149984+01:00,4,4,1
2019-09-27 17:20:13.309799910+01:00,4,3,1
2019-09-27 17:20:13.329950094+01:00,4,4,1
2019-09-27 17:20:13.345750093+01:00,4,3,1
2019-09-27 17:20:13.389800072+01:00,4,3,1
2019-09-27 17:20:13.430099964+01:00,4,4,1
2019-09-27 17:20:13.509900093+01:00,4,3,1
2019-09-27 17:20:13.529900074+01:00,4,4,1
2019-09-27 17:20:13.549799919+01:00,4,3,1
2019-09-27 17:20:13.589799881+01:00,4,3,1
2019-09-27 17:20:13.629899979+01:00,4,4,1
2019-09-27 17:20:13.710000038+01:00,4,3,1
2019-09-27 17:20:13.730050087+01:00,4,4,1
2019-09-27 17:20:13.749900103+01:00,4,3,1
2019-09-27 17:20:13.789999962+01:00,4,3,1
2019-09-27 17:20:13.830250025+01:00,4,4,1
2019-09-27 17:20:13.909849882+01:00,4,3,1
2019-09-27 17:20:13.930000067+01:00,4,4,1
2019-09-27 17:20:13.949850082+01:00,4,3,1
2019-09-27 17:20:13.989850044+01:00,4,3,1
2019-09-27 17:20:14.030450106+01:00,4,4,1
2019-09-27 17:20:14.069950104+01:00,4,3,1
2019-09-27 17:20:14.109999895+01:00,4,3,1
2019-09-27 17:20:14.130000114+01:00,4,4,1
2019-09-27 17:20:14.149849892+01:00,4,3,1
2019-09-27 17:20:14.189899921+01:00,4,3,1
2019-09-27 17:20:14.230000019+01:00,4,4,1
2019-09-27 17:20:14.309950113+01:00,4,3,1
2019-09-27 17:20:14.330399990+01:00,4,4,1
2019-09-27 17:20:14.350049973+01:00,4,3,1
2019-09-27 17:20:14.389950037+01:00,4,3,1
2019-09-27 17:20:14.430000067+01:00,4,4,1
2019-09-27 17:20:14.509900093+01:00,4,3,1
2019-09-27 17:20:14.531150103+01:00,4,4,1
2019-09-27 17:20:14.549999952+01:00,4,3,1
2019-09-27 17:20:14.590150118+01:00,4,3,1
2019-09-27 17:20:14.630049944+01:00,4,4,1
2019-09-27 17:20:14.705849886+01:00,4,3,1
2019-09-27 17:20:14.730050087+01:00,4,4,1
2019-09-27 17:20:14.749900103+01:00,4,3,1
2019-09-27 17:20:14.789900064+01:00,4,3,1
2019-09-27 17:20:14.830300093+01:00,4,4,1
2019-09-27 17:20:14.909899950+01:00,4,3,1
2019-09-27 17:20:14.930049896+01:00,4,4,1
2019-09-27 17:20:14.950050116+01:00,4,3,1
2019-09-27 17:20:14.990000010+01:00,4,3,1
2019-09-27 17:20:15.030200005+01:00,4,4,1
2019-09-27 17:20:15.070699930+01:00,4,3,1
2019-09-27 17:20:15.110049963+01:00,4,3,1
2019-09-27 17:20:15.130650043+01:00,4,4,1
2019-09-27 17:20:15.150049925+01:00,4,3,1
2019-09-27 17:20:15.189949989+01:00,4,3,1
2019-09-27 17:20:15.230149984+01:00,4,4,1
2019-09-27 17:20:15.309950113+01:00,4,3,1
2019-09-27 17:20:15.330100060+01:00,4,4,1
2019-09-27 17:20:15.350199938+01:00,4,3,1
2019-09-27 17:20:15.386149883+01:00,4,3,1
2019-09-27 17:20:15.430249929+01:00,4,4,1
2019-09-27 17:20:15.510200024+01:00,4,3,1
2019-09-27 17:20:15.530100107+01:00,4,4,1
2019-09-27 17:20:15.550100088+01:00,4,3,1
2019-09-27 17:20:15.591150045+01:00,4,3,1
2019-09-27 17:20:15.630249977+01:00,4,4,1
2019-09-27 17:20:15.710000038+01:00,4,3,1
2019-09-27 17:20:15.730149984+01:00,4,4,1
2019-09-27 17:20:15.749949932+01:00,4,3,1
