timestamps,S1_PID_0B_IntakeManiAbsPress
2019-09-27 17:22:55.121200085+01:00,86
2019-09-27 17:22:55.320950031+01:00,85
2019-09-27 17:22:55.521150112+01:00,90
2019-09-27 17:22:55.721199989+01:00,87
2019-09-27 17:22:55.920949936+01:00,84
2019-09-27 17:22:56.121099949+01:00,77
2019-09-27 17:22:56.321150064+01:00,69
2019-09-27 17:22:56.521100044+01:00,65
2019-09-27 17:22:56.721250057+01:00,65
2019-09-27 17:22:56.921050072+01:00,62
2019-09-27 17:22:57.121099949+01:00,60
2019-09-27 17:22:57.321700096+01:00,55
2019-09-27 17:22:57.521199942+01:00,33
2019-09-27 17:22:57.721299887+01:00,22
2019-09-27 17:22:57.921099901+01:00,22
2019-09-27 17:22:58.121249914+01:00,23
2019-09-27 17:22:58.322200060+01:00,23
2019-09-27 17:22:58.521250010+01:00,26
2019-09-27 17:22:58.721149921+01:00,27
2019-09-27 17:22:58.921149969+01:00,27
2019-09-27 17:22:59.121350050+01:00,26
2019-09-27 17:22:59.321249962+01:00,26
2019-09-27 17:22:59.521250010+01:00,27
2019-09-27 17:22:59.721250057+01:00,25
2019-09-27 17:22:59.921250105+01:00,27
2019-09-27 17:23:00.121299982+01:00,32
2019-09-27 17:23:00.322550058+01:00,80
2019-09-27 17:23:00.521549940+01:00,96
2019-09-27 17:23:00.721450090+01:00,96
2019-09-27 17:23:00.921400070+01:00,96
2019-09-27 17:23:01.121449947+01:00,96
2019-09-27 17:23:01.322050095+01:00,95
2019-09-27 17:23:01.521349906+01:00,94
2019-09-27 17:23:01.721349955+01:00,92
2019-09-27 17:23:01.921400070+01:00,89
2019-09-27 17:23:02.121500015+01:00,87
2019-09-27 17:23:02.321599960+01:00,84
2019-09-27 17:23:02.521600007+01:00,80
2019-09-27 17:23:02.721549988+01:00,79
2019-09-27 17:23:02.921449900+01:00,77
2019-09-27 17:23:03.121500015+01:00,76
2019-09-27 17:23:03.321500063+01:00,75
2019-09-27 17:23:03.521500111+01:00,74
2019-09-27 17:23:03.721600056+01:00,74
2019-09-27 17:23:03.921649933+01:00,69
2019-09-27 17:23:04.121599913+01:00,29
