sampno,vehno
1405037,2.0
1405348,1.0
1405348,2.0
1405429,1.0
1405429,2.0
1405843,1.0
1405843,2.0
1406562,1.0
1407249,1.0
1407249,2.0
1407344,1.0
1407344,2.0
1408153,1.0
1408153,2.0
1408153,3.0
1408153,4.0
1408153,5.0
1408153,6.0
1408153,7.0
1408328,1.0
1408666,1.0
1408666,2.0
1409431,1.0
1409431,2.0
1409630,1.0
1409630,2.0
1409716,1.0
1409716,2.0
1409724,1.0
1409724,2.0
1409775,1.0
1409775,2.0
1409886,1.0
1410354,1.0
1410354,2.0
1410920,1.0
1410920,2.0
1411065,1.0
1411065,2.0
1411065,3.0
1411258,1.0
1412094,1.0
1412094,2.0
1412400,1.0
1412400,2.0
1412655,1.0
1412923,1.0
1412923,2.0
1414307,1.0
1414504,1.0
1414504,2.0
1414504,3.0
1414523,1.0
1414761,1.0
1414761,2.0
1415199,1.0
1415199,2.0
1415232,1.0
1415232,2.0
1415800,1.0
1415800,2.0
1415932,1.0
1415932,2.0
1415988,1.0
1415988,2.0
1415988,3.0
1415988,4.0
1416624,1.0
1416624,2.0
1416749,1.0
1416749,2.0
1416987,1.0
1416987,2.0
1418361,1.0
1418361,2.0
1419181,1.0
1419181,2.0
1419181,3.0
1419423,1.0
1419423,2.0
1419550,1.0
1419550,2.0
1420228,1.0
1420228,2.0
1420962,1.0
1420962,2.0
1421302,1.0
1421313,1.0
1421313,2.0
1421313,3.0
1421465,1.0
1421465,2.0
1421509,1.0
1421570,1.0
1421732,1.0
1421732,2.0
1422475,1.0
1422475,2.0
1422475,3.0
1422475,4.0
1422612,1.0
1422612,2.0
1423258,1.0
1423292,1.0
1423446,1.0
1423527,1.0
1423527,2.0
1423800,1.0
1424140,1.0
1424252,1.0
1424252,2.0
1424257,1.0
1425142,1.0
1425142,2.0
1425717,1.0
1425717,2.0
1425717,3.0
1425717,4.0
1425717,5.0
1425717,6.0
1426794,1.0
1426794,2.0
1426884,1.0
1426884,2.0
1426979,1.0
1426979,2.0
1427179,1.0
1427179,2.0
1427381,1.0
1427381,2.0
1427792,1.0
1427792,2.0
1427792,3.0
1428273,1.0
1428273,2.0
1428273,3.0
1428355,1.0
1428452,1.0
1428452,2.0
1430161,1.0
1430161,2.0
1430705,1.0
1430705,2.0
1430727,1.0
1430727,2.0
1430930,1.0
1430930,2.0
1431118,1.0
1432009,1.0
1432009,2.0
1432067,1.0
1432194,1.0
1432194,2.0
1432358,1.0
1432358,2.0
1432729,1.0
1432729,2.0
1434577,1.0
1435272,1.0
1435282,1.0
1435768,1.0
1435768,2.0
1435768,3.0
1436279,1.0
1436530,1.0
1436629,1.0
1436851,1.0
1436851,2.0
1437651,1.0
1437651,2.0
1437651,3.0
1437789,1.0
1437789,2.0
1437789,3.0
1437789,4.0
1438706,1.0
1439736,1.0
1439736,2.0
1439882,1.0
1441043,1.0
1441080,1.0
1441080,2.0
1441080,3.0
1442103,1.0
1442103,2.0
1442511,1.0
1443355,1.0
1443858,1.0
1445035,1.0
1445035,2.0
1445035,3.0
1445035,4.0
1445248,1.0
1445248,2.0
1445995,1.0
1445995,2.0
1445995,3.0
1445995,4.0
1445995,5.0
1446152,1.0
1446636,1.0
1446636,2.0
1446690,1.0
1446690,2.0
1446690,3.0
1446952,1.0
1447164,1.0
1447164,2.0
1447164,3.0
1447373,1.0
1447373,2.0
1449152,1.0
1449152,2.0
1449231,1.0
1449595,1.0
1450127,1.0
1450127,2.0
1450127,3.0
1450432,1.0
1450432,2.0
1450432,3.0
1450891,1.0
1450891,2.0
1451154,1.0
1451154,2.0
1451223,1.0
1451223,2.0
1451223,3.0
1451414,1.0
1451539,1.0
1451539,2.0
1451688,1.0
1451688,2.0
1451822,1.0
1451822,2.0
